Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
827,323177.300,317973.938,88,1163,65,3,3.000,49
828,322584.300,316544.948,88,1181,65,3,3.000,49
829,324179.300,317091.494,88,1214,65,4,3.001,217
830,324839.300,317787.246,88,1213,65,3,3.000,49
831,322629.300,316906.939,88,1188,65,3,3.000,49
832,322903.300,318349.763,88,1169,65,3,3.000,49
833,324299.300,318739.455,88,1152,65,3,3.000,49
834,324208.300,319482.878,88,1144,65,4,3.001,473
835,323737.300,318432.382,88,1162,65,4,3.001,520
836,323696.300,318373.248,88,1170,65,4,3.001,520
837,323567.300,318150.322,88,1175,65,4,3.001,520
838,323703.300,318974.429,88,1159,65,4,3.001,520
839,322793.300,318436.995,88,1127,65,4,3.001,520
840,321209.300,317478.147,88,1129,65,3,3.000,49
841,321868.300,317343.348,88,1127,65,3,3.000,49
842,322502.300,317924.011,88,1142,65,3,3.000,49
843,322296.300,317325.328,88,1144,65,3,3.000,49
844,322044.300,317579.231,88,1116,65,3,3.000,49
845,321101.300,317506.925,97,1105,65,3,3.000,49
846,321769.300,317283.264,97,1129,65,3,3.000,49
847,320980.300,317743.385,129,1140,65,3,2.999,49
848,321250.300,318526.776,129,1154,65,3,3.000,49
849,321381.300,318483.283,88,1156,65,3,3.000,49
850,321699.300,319354.166,88,1159,65,3,3.000,49
851,321950.300,319500.084,88,1159,65,4,3.001,473
852,321748.300,318997.183,88,1172,65,4,3.001,473
853,321429.300,318371.214,88,1198,65,3,3.000,47
854,321575.300,319255.551,88,1225,65,3,3.000,49
855,321308.300,319224.976,88,1219,65,3,3.000,49
856,323166.300,319099.361,88,1241,65,3,3.000,49
857,323435.300,319337.107,88,1228,65,3,3.000,49
858,322108.300,318750.334,88,1218,65,3,3.000,49
859,322074.300,318049.170,88,1202,65,3,3.000,49
860,322154.300,316963.442,88,1221,65,3,3.000,49
861,322206.300,316605.896,88,1246,65,3,3.000,49
862,322802.300,317284.237,88,1217,65,3,3.000,49
863,323279.300,316716.177,88,1200,65,4,3.001,473
864,323824.300,317524.850,88,1205,65,4,3.001,473
865,323296.300,317616.270,88,1147,65,4,3.001,473
866,324030.300,318133.694,88,1151,65,4,3.001,473
867,324095.300,318769.924,88,1137,65,4,3.001,473
868,323443.300,317997.392,88,1148,65,3,3.000,49
869,323518.300,317695.198,88,1129,65,4,3.001,512
870,323599.300,318204.261,88,1085,65,4,3.001,264
